Privat 21;;Privat 22;;Privat 23;;Privat 24;;Privat 25;;Privat 26;;Privat 27;;
;;;;Sova;23:00:00;;;;;;;;;
;;;;;08:55:46;;;;;;;;;
Kostnad 21;;Kostnad 22;;;;;;;;;;;;
Comp 16A;07:08:06;STOD;09:11:01;;;;;;;;;;;
STOD;08:25:18;;11:50:21;;;;;;;;;;;
;12:25:18;STOD;12:43:50;;;;;;;;;;;
Comp 16A;16:42:57;;15:59:38;;;;;;;;;;;
STOD;17:04:22;;;;;;;;;;;;;
;18:03:22;;;;;;;;;;;;;
STOD;23:00:22;;;;;;;;;;;;;
;23:30:00;;;;;;;;;;;;;
Jobb 21;;Jobb 22;;;;;;;;;;;;
Inbox;07:08:09;Fysiskt;09:11:03;;;;;;;;;;;
Oaktivitet;07:57:48;Annat;09:15:54;;;;;;;;;;;
ScM;08:10:05;Fysiskt;09:18:15;;;;;;;;;;;
Dev;08:24:50;Inbox;09:19:55;;;;;;;;;;;
Oaktivitet;08:45:10;ScM;09:40:00;;;;;;;;;;;
Annat;08:53:14;Oaktivitet;11:47:23;;;;;;;;;;;
ScM;08:55:00;;11:50:19;;;;;;;;;;;
Oaktivitet;09:43:09;Fysiskt;12:43:51;;;;;;;;;;;
Dev;09:46:55;ScM;12:48:00;;;;;;;;;;;
Oaktivitet;09:51:51;Fysiskt;12:59:43;;;;;;;;;;;
Dev;10:02:25;ScM;13:01:14;;;;;;;;;;;
Oaktivitet;10:20:00;Fysiskt;14:13:11;;;;;;;;;;;
Inbox;10:43:30;Dev;14:16:00;;;;;;;;;;;
Dev;10:45:22;Fysiskt;15:09:15;;;;;;;;;;;
Fysiskt;10:48:47;Dev;15:16:13;;;;;;;;;;;
Oaktivitet;11:14:54;Fysiskt;15:44:38;;;;;;;;;;;
Inbox;11:18:39;Annat;15:48:35;;;;;;;;;;;
Oaktivitet;11:28:29;Fysiskt;15:57:30;;;;;;;;;;;
Dev;11:40:00;;15:59:36;;;;;;;;;;;
Inbox;12:09:55;;;;;;;;;;;;;
Oaktivitet;12:10:01;;;;;;;;;;;;;
;12:25:15;;;;;;;;;;;;;
Annat;16:43:03;;;;;;;;;;;;;
Inbox;16:44:27;;;;;;;;;;;;;
ScM;17:03:33;;;;;;;;;;;;;
Dev;17:31:14;;;;;;;;;;;;;
Oaktivitet;17:35:55;;;;;;;;;;;;;
;18:03:15;;;;;;;;;;;;;
Dev;23:00:15;;;;;;;;;;;;;
;23:30:00;;;;;;;;;;;;;
Shopping 2 21;;;;;;;;;;;;;;
Ditfärd;12:42:09;;;;;;;;;;;;;
Vandra;13:37:44;;;;;;;;;;;;;
Affär;13:44:00;;;;;;;;;;;;;
Kassa;13:48:31;;;;;;;;;;;;;
Vandra;14:05:00;;;;;;;;;;;;;
Transport;14:06:24;;;;;;;;;;;;;
Affär;14:12:27;;;;;;;;;;;;;
Kassa;14:27:05;;;;;;;;;;;;;
Transport;14:28:43;;;;;;;;;;;;;
Affär;14:33:00;;;;;;;;;;;;;
Transport;14:36:44;;;;;;;;;;;;;
Affär;14:37:26;;;;;;;;;;;;;
Transport;14:40:33;;;;;;;;;;;;;
Affär;14:41:06;;;;;;;;;;;;;
Transport;14:42:06;;;;;;;;;;;;;
Affär;14:45:57;;;;;;;;;;;;;
Kassa;14:49:55;;;;;;;;;;;;;
Transport;14:56:51;;;;;;;;;;;;;
Affär;15:02:29;;;;;;;;;;;;;
Kassa;15:24:00;;;;;;;;;;;;;
Transport;15:29:44;;;;;;;;;;;;;
Affär;15:32:00;;;;;;;;;;;;;
Kassa;15:40:00;;;;;;;;;;;;;
Hemfärd;15:42:28;;;;;;;;;;;;;
;16:37:27;;;;;;;;;;;;;
